,iso3,Birth Rate,Infant mortality,Physicians per thousand,Life expectancy,OOP health expenditure,GDP,Unemployment rate,Minimum wage,Primary education enrollment,Tertiary education enrollment,Emigrants_total,Immigrants_total,emig_rate,immig_rate
0,AFG,32.49,47.9,0.28,64.5,78.4,19101353833.0,11.12,0.43,104.0,9.7,4683917,124681,0.1713748574256897,0.005505288485437632
1,ALB,11.78,7.8,1.2,78.5,56.9,15278077447.0,12.33,1.12,107.0,55.0,998089,40633,0.2982209026813507,0.017300046980381012
2,DZA,24.28,20.1,1.72,76.7,28.1,169988236398.0,11.7,0.95,109.9,51.4,1706780,218129,0.05323882773518562,0.0071866074576973915
3,AND,7.2,2.7,3.33,,36.4,3154057987.0,,6.63,106.4,,8726,41084,,
4,AGO,40.73,51.6,0.21,60.8,33.4,94635415870.0,6.89,0.71,113.5,9.3,533102,628024,0.029370486736297607,0.03564704954624176
5,ATG,15.33,5.0,2.76,76.9,24.3,1727759259.0,,3.04,105.0,24.8,31532,26334,0.29179275035858154,0.3440958559513092
6,ARG,17.02,8.8,3.96,76.5,17.6,449663446954.0,9.79,3.35,109.7,90.0,981465,2102692,0.027826976031064987,0.06132298335433006
7,ARM,13.99,11.0,4.4,74.9,81.6,13672802158.0,16.99,0.66,92.7,54.6,930158,174288,0.28392407298088074,0.07429403066635132
8,AUS,12.6,3.1,3.68,82.7,19.6,1392680589329.0,5.27,13.59,100.3,113.1,558359,7155765,0.026220478117465973,0.34508216381073
9,AUT,9.7,2.9,5.17,81.6,17.9,446314739528.0,4.67,,103.1,85.1,505124,1576936,0.06207840144634247,0.20662841200828552
10,AZE,14.0,19.2,3.45,72.9,78.6,39207000000.0,5.51,0.47,99.7,27.7,1109499,215928,0.12566259503364563,0.027971064671874046
11,BHS,13.97,8.3,1.94,73.8,27.8,12827000000.0,10.36,5.25,81.4,15.1,43140,58597,0.12275175750255585,0.19006425142288208
12,BHR,13.99,6.1,0.93,77.2,25.1,38574069149.0,0.71,,99.4,50.5,47942,883566,0.033329255878925323,0.6354331374168396
